File size,Standard AES Encryption,Standard AES Decryption,Standard AES Total,PGP-CFB Encryption,PGP-CFB Decryption,PGP-CFB Total,RSA Encryption,RSA Decryption,RSA Total
1,0.0030727386474609375,0.0,0.0030727386474609375,0.0,0.0010051727294921875,0.0010051727294921875,0.0025403499603271484,0.01478266716003418,0.017323017120361328
5,0.0,0.001974821090698242,0.001974821090698242,0.0010085105895996094,0.0010008811950683594,0.0020093917846679688,0.024469852447509766,0.11965250968933105,0.14412236213684082
10,0.0013942718505859375,0.0011425018310546875,0.002536773681640625,0.002467632293701172,0.0025358200073242188,0.005003452301025391,,,
100,0.0039179325103759766,0.004790782928466797,0.008708715438842773,0.0251004695892334,0.022989749908447266,0.048090219497680664,,,
